gridnumber,capital,policy[0],policy[1],policy[2],policy[3],policy[4],policy[5],policy[6],
420,200.312,199.314,199.456,199.7,200.115,200.812,201.979,203.925,
421,202.651,201.652,201.794,202.039,202.453,203.151,204.318,206.264,
422,205.017,204.018,204.16,204.404,204.819,205.516,206.683,208.63,
423,207.411,206.411,206.553,206.797,207.212,207.909,209.077,211.023,
424,209.832,208.832,208.974,209.218,209.633,210.33,211.497,213.444,
425,212.282,211.281,211.423,211.667,212.082,212.779,213.946,215.892,
426,214.76,213.758,213.9,214.144,214.559,215.256,216.423,218.37,
427,217.266,216.264,216.406,216.65,217.065,217.762,218.929,220.876,
428,219.802,218.799,218.941,219.185,219.6,220.297,221.464,223.411,
429,222.367,221.363,221.506,221.75,222.164,222.862,224.029,225.975,
430,224.962,223.958,224.1,224.344,224.758,225.456,226.623,228.569,
431,227.586,226.582,226.724,226.968,227.382,228.08,229.247,231.193,
432,230.242,229.236,229.378,229.622,230.037,230.734,231.902,233.848,
433,232.928,231.922,232.064,232.308,232.722,233.42,234.587,236.533,
434,235.645,234.638,234.78,235.024,235.439,236.136,237.303,239.249,
435,238.393,237.386,237.528,237.772,238.186,238.884,240.051,241.997,
