gridnumber,capital,VF[0],VF[1],VF[2],VF[3],VF[4],VF[5],VF[6],
254,28.2366,-2.2695,-2.21512,-2.14676,-2.06034,-1.95008,-1.80938,-1.63364,
255,28.5823,-2.24188,-2.18848,-2.12135,-2.03645,-1.92808,-1.78972,-1.61676,
256,28.932,-2.21446,-2.16203,-2.09611,-2.01271,-1.90621,-1.77017,-1.59998,
257,29.2857,-2.18723,-2.13576,-2.07103,-1.98911,-1.88446,-1.75071,-1.58327,
258,29.6435,-2.1602,-2.10968,-2.04613,-1.96567,-1.86285,-1.73136,-1.56664,
259,30.0055,-2.13337,-2.08378,-2.02139,-1.94238,-1.84136,-1.7121,-1.55007,
260,30.3716,-2.10675,-2.05807,-1.99683,-1.91924,-1.82,-1.69295,-1.53358,
261,30.742,-2.08032,-2.03254,-1.97244,-1.89626,-1.79877,-1.67391,-1.51716,
262,31.1167,-2.05409,-2.00721,-1.94822,-1.87343,-1.77768,-1.65497,-1.50081,
263,31.4958,-2.02806,-1.98206,-1.92418,-1.85075,-1.75672,-1.63614,-1.48454,
264,31.8792,-2.00224,-1.95711,-1.90031,-1.82824,-1.73589,-1.61742,-1.46836,
265,32.267,-1.97662,-1.93234,-1.87662,-1.80588,-1.7152,-1.59881,-1.45226,
266,32.6594,-1.95121,-1.90777,-1.85311,-1.78368,-1.69465,-1.58031,-1.43626,
267,33.0563,-1.926,-1.88339,-1.82977,-1.76164,-1.67424,-1.56192,-1.42035,
268,33.4578,-1.90099,-1.85922,-1.80661,-1.73976,-1.65396,-1.54365,-1.40452,
269,33.864,-1.87619,-1.83523,-1.78363,-1.71804,-1.63383,-1.52549,-1.38877,
270,34.2748,-1.8516,-1.81145,-1.76084,-1.69649,-1.61384,-1.50745,-1.37311,
271,34.6904,-1.82722,-1.78786,-1.73822,-1.6751,-1.59399,-1.48952,-1.35753,
272,35.1109,-1.80305,-1.76446,-1.71579,-1.65387,-1.57429,-1.47172,-1.34204,
