gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4]
146,106.925,95.5657,95.5657,95.5657,95.5657,95.5657,95.5345,95.5345,95.5345,95.5345,95.5345,95.4989,95.4989,95.4989,95.4989,95.4989,95.4605,95.4605,95.4605,95.4605,95.4605,95.4221,95.4221,95.4221,95.4221,95.4221
147,110.105,98.4759,98.4759,98.4759,98.4759,98.4759,98.4447,98.4447,98.4447,98.4447,98.4447,98.409,98.409,98.409,98.409,98.409,98.3708,98.3708,98.3708,98.3708,98.3708,98.3325,98.3325,98.3325,98.3325,98.3325
148,113.379,101.472,101.472,101.472,101.472,101.472,101.441,101.441,101.441,101.441,101.441,101.405,101.405,101.405,101.405,101.405,101.367,101.367,101.367,101.367,101.367,101.329,101.329,101.329,101.329,101.329
149,116.748,104.557,104.557,104.557,104.557,104.557,104.525,104.525,104.525,104.525,104.525,104.49,104.49,104.49,104.49,104.49,104.452,104.452,104.452,104.452,104.452,104.413,104.413,104.413,104.413,104.413
150,120.216,107.732,107.732,107.732,107.732,107.732,107.701,107.701,107.701,107.701,107.701,107.665,107.665,107.665,107.665,107.665,107.627,107.627,107.627,107.627,107.627,107.589,107.589,107.589,107.589,107.589
151,123.786,111.001,111.001,111.001,111.001,111.001,110.97,110.97,110.97,110.97,110.97,110.935,110.935,110.935,110.935,110.935,110.897,110.897,110.897,110.897,110.897,110.859,110.859,110.859,110.859,110.859
152,127.461,114.367,114.367,114.367,114.367,114.367,114.336,114.336,114.336,114.336,114.336,114.3,114.3,114.3,114.3,114.3,114.262,114.262,114.262,114.262,114.262,114.225,114.225,114.225,114.225,114.225
153,131.243,117.832,117.832,117.832,117.832,117.832,117.8,117.8,117.8,117.8,117.8,117.765,117.765,117.765,117.765,117.765,117.727,117.727,117.727,117.727,117.727,117.69,117.69,117.69,117.69,117.69
154,135.136,121.399,121.399,121.399,121.399,121.399,121.367,121.367,121.367,121.367,121.367,121.332,121.332,121.332,121.332,121.332,121.294,121.294,121.294,121.294,121.294,121.257,121.257,121.257,121.257,121.257
155,139.143,125.071,125.071,125.071,125.071,125.071,125.04,125.04,125.04,125.04,125.04,125.004,125.004,125.004,125.004,125.004,124.966,124.966,124.966,124.966,124.966,124.929,124.929,124.929,124.929,124.929
156,143.267,128.851,128.851,128.851,128.851,128.851,128.82,128.82,128.82,128.82,128.82,128.785,128.785,128.785,128.785,128.785,128.747,128.747,128.747,128.747,128.747,128.709,128.709,128.709,128.709,128.709
157,147.512,132.743,132.743,132.743,132.743,132.743,132.712,132.712,132.712,132.712,132.712,132.676,132.676,132.676,132.676,132.676,132.639,132.639,132.639,132.639,132.639,132.601,132.601,132.601,132.601,132.601
158,151.882,136.75,136.75,136.75,136.75,136.75,136.718,136.718,136.718,136.718,136.718,136.683,136.683,136.683,136.683,136.683,136.645,136.645,136.645,136.645,136.645,136.608,136.608,136.608,136.608,136.608
159,156.38,140.874,140.874,140.874,140.874,140.874,140.843,140.843,140.843,140.843,140.843,140.807,140.807,140.807,140.807,140.807,140.769,140.769,140.769,140.769,140.769,140.732,140.732,140.732,140.732,140.732
