gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4]
63,8.27157,5.95629,5.95629,5.95629,5.95629,5.95629,5.90826,5.90826,5.90826,5.90826,5.90826,5.85307,5.85307,5.85307,5.85307,5.85307,5.79401,5.79401,5.79401,5.79401,5.79401,5.73555,5.73555,5.73555,5.73555,5.73555
64,8.56085,6.20006,6.20006,6.20006,6.20006,6.20006,6.15243,6.15243,6.15243,6.15243,6.15243,6.09755,6.09755,6.09755,6.09755,6.09755,6.03853,6.03853,6.03853,6.03853,6.03853,5.97979,5.97979,5.97979,5.97979,5.97979
65,8.85861,6.4518,6.4518,6.4518,6.4518,6.4518,6.40445,6.40445,6.40445,6.40445,6.40445,6.35003,6.35003,6.35003,6.35003,6.35003,6.29152,6.29152,6.29152,6.29152,6.29152,6.23301,6.23301,6.23301,6.23301,6.23301
66,9.16509,6.71148,6.71148,6.71148,6.71148,6.71148,6.66432,6.66432,6.66432,6.66432,6.66432,6.61029,6.61029,6.61029,6.61029,6.61029,6.55222,6.55222,6.55222,6.55222,6.55222,6.49406,6.49406,6.49406,6.49406,6.49406
67,9.48056,6.97991,6.97991,6.97991,6.97991,6.97991,6.93296,6.93296,6.93296,6.93296,6.93296,6.87927,6.87927,6.87927,6.87927,6.87927,6.82158,6.82158,6.82158,6.82158,6.82158,6.76379,6.76379,6.76379,6.76379,6.76379
68,9.80527,7.25751,7.25751,7.25751,7.25751,7.25751,7.21109,7.21109,7.21109,7.21109,7.21109,7.15772,7.15772,7.15772,7.15772,7.15772,7.10037,7.10037,7.10037,7.10037,7.10037,7.04308,7.04308,7.04308,7.04308,7.04308
69,10.1395,7.54366,7.54366,7.54366,7.54366,7.54366,7.49773,7.49773,7.49773,7.49773,7.49773,7.44488,7.44488,7.44488,7.44488,7.44488,7.38805,7.38805,7.38805,7.38805,7.38805,7.33128,7.33128,7.33128,7.33128,7.33128
70,10.4835,7.83888,7.83888,7.83888,7.83888,7.83888,7.79315,7.79315,7.79315,7.79315,7.79315,7.74073,7.74073,7.74073,7.74073,7.74073,7.68441,7.68441,7.68441,7.68441,7.68441,7.62804,7.62804,7.62804,7.62804,7.62804
71,10.8376,8.14376,8.14376,8.14376,8.14376,8.14376,8.09812,8.09812,8.09812,8.09812,8.09812,8.04596,8.04596,8.04596,8.04596,8.04596,7.99004,7.99004,7.99004,7.99004,7.99004,7.93414,7.93414,7.93414,7.93414,7.93414
72,11.2021,8.45845,8.45845,8.45845,8.45845,8.45845,8.41301,8.41301,8.41301,8.41301,8.41301,8.36108,8.36108,8.36108,8.36108,8.36108,8.30551,8.30551,8.30551,8.30551,8.30551,8.25011,8.25011,8.25011,8.25011,8.25011
73,11.5773,8.78309,8.78309,8.78309,8.78309,8.78309,8.73793,8.73793,8.73793,8.73793,8.73793,8.6862,8.6862,8.6862,8.6862,8.6862,8.63079,8.63079,8.63079,8.63079,8.63079,8.57571,8.57571,8.57571,8.57571,8.57571
74,11.9634,9.11834,9.11834,9.11834,9.11834,9.11834,9.07349,9.07349,9.07349,9.07349,9.07349,9.02201,9.02201,9.02201,9.02201,9.02201,8.96674,8.96674,8.96674,8.96674,8.96674,8.91176,8.91176,8.91176,8.91176,8.91176
75,12.3609,9.46424,9.46424,9.46424,9.46424,9.46424,9.41982,9.41982,9.41982,9.41982,9.41982,9.36873,9.36873,9.36873,9.36873,9.36873,9.31381,9.31381,9.31381,9.31381,9.31381,9.25891,9.25891,9.25891,9.25891,9.25891
76,12.77,9.82074,9.82074,9.82074,9.82074,9.82074,9.77673,9.77673,9.77673,9.77673,9.77673,9.72619,9.72619,9.72619,9.72619,9.72619,9.67189,9.67189,9.67189,9.67189,9.67189,9.61762,9.61762,9.61762,9.61762,9.61762
77,13.1911,10.1888,10.1888,10.1888,10.1888,10.1888,10.145,10.145,10.145,10.145,10.145,10.095,10.095,10.095,10.095,10.095,10.0413,10.0413,10.0413,10.0413,10.0413,9.98773,9.98773,9.98773,9.98773,9.98773
78,13.6246,10.5683,10.5683,10.5683,10.5683,10.5683,10.5249,10.5249,10.5249,10.5249,10.5249,10.4753,10.4753,10.4753,10.4753,10.4753,10.4221,10.4221,10.4221,10.4221,10.4221,10.3691,10.3691,10.3691,10.3691,10.3691
79,14.0707,10.9592,10.9592,10.9592,10.9592,10.9592,10.9162,10.9162,10.9162,10.9162,10.9162,10.867,10.867,10.867,10.867,10.867,10.8141,10.8141,10.8141,10.8141,10.8141,10.7615,10.7615,10.7615,10.7615,10.7615
80,14.5299,11.3621,11.3621,11.3621,11.3621,11.3621,11.3192,11.3192,11.3192,11.3192,11.3192,11.2702,11.2702,11.2702,11.2702,11.2702,11.2176,11.2176,11.2176,11.2176,11.2176,11.1653,11.1653,11.1653,11.1653,11.1653
81,15.0026,11.7779,11.7779,11.7779,11.7779,11.7779,11.7352,11.7352,11.7352,11.7352,11.7352,11.6863,11.6863,11.6863,11.6863,11.6863,11.634,11.634,11.634,11.634,11.634,11.582,11.582,11.582,11.582,11.582
82,15.4891,12.2066,12.2066,12.2066,12.2066,12.2066,12.1643,12.1643,12.1643,12.1643,12.1643,12.1159,12.1159,12.1159,12.1159,12.1159,12.0639,12.0639,12.0639,12.0639,12.0639,12.0121,12.0121,12.0121,12.0121,12.0121
83,15.9899,12.6486,12.6486,12.6486,12.6486,12.6486,12.6067,12.6067,12.6067,12.6067,12.6067,12.5587,12.5587,12.5587,12.5587,12.5587,12.5072,12.5072,12.5072,12.5072,12.5072,12.4559,12.4559,12.4559,12.4559,12.4559
84,16.5054,13.1046,13.1046,13.1046,13.1046,13.1046,13.0629,13.0629,13.0629,13.0629,13.0629,13.0153,13.0153,13.0153,13.0153,13.0153,12.9643,12.9643,12.9643,12.9643,12.9643,12.9136,12.9136,12.9136,12.9136,12.9136
85,17.036,13.5746,13.5746,13.5746,13.5746,13.5746,13.5334,13.5334,13.5334,13.5334,13.5334,13.486,13.486,13.486,13.486,13.486,13.4353,13.4353,13.4353,13.4353,13.4353,13.3847,13.3847,13.3847,13.3847,13.3847
86,17.5821,14.059,14.059,14.059,14.059,14.059,14.018,14.018,14.018,14.018,14.018,13.9709,13.9709,13.9709,13.9709,13.9709,13.9203,13.9203,13.9203,13.9203,13.9203,13.8699,13.8699,13.8699,13.8699,13.8699
87,18.1442,14.5583,14.5583,14.5583,14.5583,14.5583,14.5174,14.5174,14.5174,14.5174,14.5174,14.4706,14.4706,14.4706,14.4706,14.4706,14.4202,14.4202,14.4202,14.4202,14.4202,14.3701,14.3701,14.3701,14.3701,14.3701
88,18.7228,15.0728,15.0728,15.0728,15.0728,15.0728,15.0322,15.0322,15.0322,15.0322,15.0322,14.9857,14.9857,14.9857,14.9857,14.9857,14.9358,14.9358,14.9358,14.9358,14.9358,14.8862,14.8862,14.8862,14.8862,14.8862
89,19.3184,15.6025,15.6025,15.6025,15.6025,15.6025,15.5624,15.5624,15.5624,15.5624,15.5624,15.5163,15.5163,15.5163,15.5163,15.5163,15.4671,15.4671,15.4671,15.4671,15.4671,15.418,15.418,15.418,15.418,15.418
90,19.9314,16.1483,16.1483,16.1483,16.1483,16.1483,16.1084,16.1084,16.1084,16.1084,16.1084,16.0628,16.0628,16.0628,16.0628,16.0628,16.0141,16.0141,16.0141,16.0141,16.0141,15.9657,15.9657,15.9657,15.9657,15.9657
