gridnumber,capital,policy[0],policy[1],policy[2],policy[3],policy[4],policy[5],policy[6]
279,38.1935,37.9179,37.9183,37.9187,37.919,37.9194,37.9198,37.9202
280,38.6545,38.3757,38.3761,38.3765,38.3769,38.3773,38.3776,38.378
281,39.1209,38.8388,38.8392,38.8396,38.84,38.8404,38.8408,38.8412
282,39.5926,39.3073,39.3077,39.3081,39.3085,39.3089,39.3093,39.3097
283,40.0698,39.7812,39.7816,39.782,39.7824,39.7828,39.7832,39.7836
284,40.5526,40.2606,40.261,40.2614,40.2618,40.2622,40.2626,40.2631
285,41.0409,40.7456,40.746,40.7464,40.7468,40.7472,40.7476,40.748
286,41.5349,41.2362,41.2366,41.237,41.2374,41.2378,41.2382,41.2386
287,42.0347,41.7324,41.7328,41.7333,41.7337,41.7341,41.7345,41.7349
288,42.5402,42.2344,42.2349,42.2353,42.2357,42.2361,42.2365,42.237
289,43.0516,42.7423,42.7427,42.7431,42.7435,42.744,42.7444,42.7448
290,43.5689,43.256,43.2564,43.2568,43.2573,43.2577,43.2581,43.2586
291,44.0922,43.7756,43.7761,43.7765,43.7769,43.7774,43.7778,43.7782
292,44.6215,44.3013,44.3017,44.3022,44.3026,44.3031,44.3035,44.304
293,45.157,44.8331,44.8335,44.834,44.8344,44.8349,44.8353,44.8357
294,45.6987,45.371,45.3714,45.3719,45.3724,45.3728,45.3733,45.3737
295,46.2467,45.9152,45.9156,45.9161,45.9165,45.917,45.9174,45.9179
296,46.801,46.4656,46.4661,46.4665,46.467,46.4675,46.4679,46.4684
297,47.3617,47.0225,47.0229,47.0234,47.0239,47.0243,47.0248,47.0253
298,47.9289,47.5858,47.5862,47.5867,47.5872,47.5877,47.5881,47.5886
299,48.5027,48.1556,48.1561,48.1565,48.157,48.1575,48.158,48.1585
300,49.0832,48.732,48.7325,48.733,48.7335,48.7339,48.7344,48.7349
301,49.6704,49.3151,49.3156,49.3161,49.3166,49.3171,49.3176,49.318
302,50.2644,49.9049,49.9054,49.9059,49.9064,49.9069,49.9074,49.9079
303,50.8652,50.5016,50.5021,50.5026,50.5031,50.5037,50.5042,50.5047
304,51.473,51.1052,51.1057,51.1063,51.1068,51.1073,51.1078,51.1083
305,52.0879,51.7158,51.7163,51.7169,51.7174,51.7179,51.7184,51.7189
306,52.7099,52.3335,52.334,52.3345,52.3351,52.3356,52.3361,52.3366
307,53.3391,52.9583,52.9588,52.9594,52.9599,52.9604,52.961,52.9615
308,53.9756,53.5904,53.5909,53.5914,53.592,53.5925,53.5931,53.5936
309,54.6194,54.2298,54.2303,54.2308,54.2314,54.2319,54.2325,54.233
310,55.2707,54.8766,54.8771,54.8777,54.8782,54.8787,54.8793,54.8798
311,55.9296,55.5308,55.5314,55.5319,55.5325,55.5331,55.5336,55.5342
312,56.5961,56.1927,56.1933,56.1938,56.1944,56.1949,56.1955,56.1961
313,57.2703,56.8622,56.8628,56.8634,56.8639,56.8645,56.8651,56.8656
314,57.9523,57.5395,57.5401,57.5407,57.5412,57.5418,57.5424,57.543
315,58.6423,58.2247,58.2252,58.2258,58.2264,58.227,58.2276,58.2281
316,59.3402,58.9177,58.9183,58.9189,58.9195,58.9201,58.9207,58.9213
317,60.0462,59.6188,59.6194,59.62,59.6206,59.6212,59.6218,59.6224
318,60.7604,60.3281,60.3287,60.3293,60.3299,60.3305,60.3311,60.3317
319,61.4828,61.0455,61.0461,61.0467,61.0473,61.0479,61.0485,61.0492
320,62.2137,61.7713,61.7719,61.7725,61.7731,61.7737,61.7743,61.775
321,62.9529,62.5054,62.506,62.5067,62.5073,62.5079,62.5085,62.5092
322,63.7008,63.2481,63.2487,63.2493,63.25,63.2506,63.2512,63.2519
323,64.4573,63.9994,64,64.0006,64.0013,64.0019,64.0025,64.0032
324,65.2226,64.7593,64.76,64.7606,64.7613,64.7619,64.7626,64.7632
325,65.9968,65.5281,65.5288,65.5294,65.5301,65.5307,65.5314,65.532
326,66.7799,66.3058,66.3065,66.3071,66.3078,66.3084,66.3091,66.3098
327,67.5721,67.0925,67.0932,67.0938,67.0945,67.0952,67.0958,67.0965
328,68.3735,67.8883,67.889,67.8897,67.8903,67.891,67.8917,67.8924
