gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4]
68,9.80527,3.80809,3.80809,3.80809,3.80809,3.80809,3.77572,3.77572,3.77572,3.77572,3.77572,3.73834,3.73834,3.73834,3.73834,3.73834,3.69755,3.69755,3.69755,3.69755,3.69755,4.50284,4.50284,4.50284,4.50284,4.50284
69,10.1395,3.93237,3.93237,3.93237,3.93237,3.93237,3.89936,3.89936,3.89936,3.89936,3.89936,3.8611,3.8611,3.8611,3.8611,3.8611,3.81927,3.81927,3.81927,3.81927,3.81927,4.67376,4.67376,4.67376,4.67376,4.67376
70,10.4835,4.06066,4.06066,4.06066,4.06066,4.06066,4.02695,4.02695,4.02695,4.02695,4.02695,3.98782,3.98782,3.98782,3.98782,3.98782,3.94498,3.94498,3.94498,3.94498,3.94498,4.84684,4.84684,4.84684,4.84684,4.84684
71,10.8376,4.19299,4.19299,4.19299,4.19299,4.19299,4.15859,4.15859,4.15859,4.15859,4.15859,4.11862,4.11862,4.11862,4.11862,4.11862,4.0749,4.0749,4.0749,4.0749,4.0749,5.02689,5.02689,5.02689,5.02689,5.02689
72,11.2021,4.32949,4.32949,4.32949,4.32949,4.32949,4.29443,4.29443,4.29443,4.29443,4.29443,4.25368,4.25368,4.25368,4.25368,4.25368,4.20907,4.20907,4.20907,4.20907,4.20907,5.21694,5.21694,5.21694,5.21694,5.21694
73,11.5773,4.47028,4.47028,4.47028,4.47028,4.47028,4.43459,4.43459,4.43459,4.43459,4.43459,4.39313,4.39313,4.39313,4.39313,4.39313,4.34759,4.34759,4.34759,4.34759,4.34759,5.41166,5.41166,5.41166,5.41166,5.41166
74,11.9634,4.6155,4.6155,4.6155,4.6155,4.6155,4.57926,4.57926,4.57926,4.57926,4.57926,4.53704,4.53704,4.53704,4.53704,4.53704,4.4906,4.4906,4.4906,4.4906,4.4906,5.61003,5.61003,5.61003,5.61003,5.61003
75,12.3609,4.76535,4.76535,4.76535,4.76535,4.76535,4.7285,4.7285,4.7285,4.7285,4.7285,4.68553,4.68553,4.68553,4.68553,4.68553,4.63821,4.63821,4.63821,4.63821,4.63821,5.81641,5.81641,5.81641,5.81641,5.81641
76,12.77,4.91987,4.91987,4.91987,4.91987,4.91987,4.88244,4.88244,4.88244,4.88244,4.88244,4.83875,4.83875,4.83875,4.83875,4.83875,4.79061,4.79061,4.79061,4.79061,4.79061,6.0327,6.0327,6.0327,6.0327,6.0327
77,13.1911,5.07921,5.07921,5.07921,5.07921,5.07921,5.04122,5.04122,5.04122,5.04122,5.04122,4.99682,4.99682,4.99682,4.99682,4.99682,4.94796,4.94796,4.94796,4.94796,4.94796,6.25419,6.25419,6.25419,6.25419,6.25419
78,13.6246,5.24351,5.24351,5.24351,5.24351,5.24351,5.20497,5.20497,5.20497,5.20497,5.20497,5.15996,5.15996,5.15996,5.15996,5.15996,5.11033,5.11033,5.11033,5.11033,5.11033,6.48063,6.48063,6.48063,6.48063,6.48063
79,14.0707,5.41291,5.41291,5.41291,5.41291,5.41291,5.37386,5.37386,5.37386,5.37386,5.37386,5.32825,5.32825,5.32825,5.32825,5.32825,5.27786,5.27786,5.27786,5.27786,5.27786,6.71501,6.71501,6.71501,6.71501,6.71501
80,14.5299,5.58757,5.58757,5.58757,5.58757,5.58757,5.54806,5.54806,5.54806,5.54806,5.54806,5.50184,5.50184,5.50184,5.50184,5.50184,5.45071,5.45071,5.45071,5.45071,5.45071,6.95897,6.95897,6.95897,6.95897,6.95897
81,15.0026,5.76767,5.76767,5.76767,5.76767,5.76767,5.72769,5.72769,5.72769,5.72769,5.72769,5.68086,5.68086,5.68086,5.68086,5.68086,5.62903,5.62903,5.62903,5.62903,5.62903,7.21227,7.21227,7.21227,7.21227,7.21227
82,15.4891,5.95334,5.95334,5.95334,5.95334,5.95334,5.91288,5.91288,5.91288,5.91288,5.91288,5.86547,5.86547,5.86547,5.86547,5.86547,5.81296,5.81296,5.81296,5.81296,5.81296,7.47143,7.47143,7.47143,7.47143,7.47143
83,15.9899,6.14472,6.14472,6.14472,6.14472,6.14472,6.10381,6.10381,6.10381,6.10381,6.10381,6.05584,6.05584,6.05584,6.05584,6.05584,6.0027,6.0027,6.0027,6.0027,6.0027,7.73776,7.73776,7.73776,7.73776,7.73776
84,16.5054,6.34198,6.34198,6.34198,6.34198,6.34198,6.30063,6.30063,6.30063,6.30063,6.30063,6.25213,6.25213,6.25213,6.25213,6.25213,6.19842,6.19842,6.19842,6.19842,6.19842,8.01322,8.01322,8.01322,8.01322,8.01322
85,17.036,6.54528,6.54528,6.54528,6.54528,6.54528,6.50352,6.50352,6.50352,6.50352,6.50352,6.45453,6.45453,6.45453,6.45453,6.45453,6.40025,6.40025,6.40025,6.40025,6.40025,8.29845,8.29845,8.29845,8.29845,8.29845
86,17.5821,6.75481,6.75481,6.75481,6.75481,6.75481,6.71265,6.71265,6.71265,6.71265,6.71265,6.66321,6.66321,6.66321,6.66321,6.66321,6.60836,6.60836,6.60836,6.60836,6.60836,8.59224,8.59224,8.59224,8.59224,8.59224
87,18.1442,6.97074,6.97074,6.97074,6.97074,6.97074,6.92821,6.92821,6.92821,6.92821,6.92821,6.87832,6.87832,6.87832,6.87832,6.87832,6.82292,6.82292,6.82292,6.82292,6.82292,8.89414,8.89414,8.89414,8.89414,8.89414
88,18.7228,7.19325,7.19325,7.19325,7.19325,7.19325,7.15039,7.15039,7.15039,7.15039,7.15039,7.10005,7.10005,7.10005,7.10005,7.10005,7.04412,7.04412,7.04412,7.04412,7.04412,9.2066,9.2066,9.2066,9.2066,9.2066
89,19.3184,7.42257,7.42257,7.42257,7.42257,7.42257,7.37936,7.37936,7.37936,7.37936,7.37936,7.32858,7.32858,7.32858,7.32858,7.32858,7.27215,7.27215,7.27215,7.27215,7.27215,9.53138,9.53138,9.53138,9.53138,9.53138
90,19.9314,7.65885,7.65885,7.65885,7.65885,7.65885,7.6153,7.6153,7.6153,7.6153,7.6153,7.56411,7.56411,7.56411,7.56411,7.56411,7.5072,7.5072,7.5072,7.5072,7.5072,9.8663,9.8663,9.8663,9.8663,9.8663
91,20.5623,7.90229,7.90229,7.90229,7.90229,7.90229,7.85842,7.85842,7.85842,7.85842,7.85842,7.80683,7.80683,7.80683,7.80683,7.80683,7.74946,7.74946,7.74946,7.74946,7.74946,10.2081,10.2081,10.2081,10.2081,10.2081
92,21.2118,8.1531,8.1531,8.1531,8.1531,8.1531,8.10892,8.10892,8.10892,8.10892,8.10892,8.05696,8.05696,8.05696,8.05696,8.05696,7.99914,7.99914,7.99914,7.99914,7.99914,10.5592,10.5592,10.5592,10.5592,10.5592
