gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[1 0],policy[1 1],policy[1 2],policy[2 0],policy[2 1],policy[2 2],policy[3 0],policy[3 1],policy[3 2],policy[4 0],policy[4 1],policy[4 2]
139,87.0591,66.1381,66.1381,66.1381,66.0183,66.0183,66.0183,65.8764,65.8764,65.8764,65.7184,65.7184,65.7184,65.5558,65.5558,65.5558
140,89.6572,68.196,68.196,68.196,68.0761,68.0761,68.0761,67.9342,67.9342,67.9342,67.7764,67.7764,67.7764,67.6142,67.6142,67.6142
141,92.3314,70.3153,70.3153,70.3153,70.1954,70.1954,70.1954,70.0534,70.0534,70.0534,69.8954,69.8954,69.8954,69.7331,69.7331,69.7331
142,95.084,72.4977,72.4977,72.4977,72.3779,72.3779,72.3779,72.2358,72.2358,72.2358,72.0774,72.0774,72.0774,71.9146,71.9146,71.9146
143,97.9173,74.7449,74.7449,74.7449,74.6251,74.6251,74.6251,74.4828,74.4828,74.4828,74.3241,74.3241,74.3241,74.1612,74.1612,74.1612
144,100.834,77.0588,77.0588,77.0588,76.939,76.939,76.939,76.7967,76.7967,76.7967,76.6381,76.6381,76.6381,76.4753,76.4753,76.4753
145,103.835,79.4415,79.4415,79.4415,79.3217,79.3217,79.3217,79.1795,79.1795,79.1795,79.021,79.021,79.021,78.8582,78.8582,78.8582
146,106.925,81.8945,81.8945,81.8945,81.7747,81.7747,81.7747,81.6328,81.6328,81.6328,81.4746,81.4746,81.4746,81.3117,81.3117,81.3117
147,110.105,84.4202,84.4202,84.4202,84.3005,84.3005,84.3005,84.1589,84.1589,84.1589,84.0009,84.0009,84.0009,83.8384,83.8384,83.8384
148,113.379,87.0212,87.0212,87.0212,86.9015,86.9015,86.9015,86.7599,86.7599,86.7599,86.6021,86.6021,86.6021,86.4399,86.4399,86.4399
149,116.748,89.6994,89.6994,89.6994,89.5796,89.5796,89.5796,89.4381,89.4381,89.4381,89.2803,89.2803,89.2803,89.1182,89.1182,89.1182
150,120.216,92.4567,92.4567,92.4567,92.3372,92.3372,92.3372,92.1958,92.1958,92.1958,92.0383,92.0383,92.0383,91.8764,91.8764,91.8764
151,123.786,95.2956,95.2956,95.2956,95.1763,95.1763,95.1763,95.0351,95.0351,95.0351,94.878,94.878,94.878,94.7163,94.7163,94.7163
152,127.461,98.2184,98.2184,98.2184,98.0993,98.0993,98.0993,97.9583,97.9583,97.9583,97.8013,97.8013,97.8013,97.6397,97.6397,97.6397
153,131.243,101.227,101.227,101.227,101.108,101.108,101.108,100.968,100.968,100.968,100.811,100.811,100.811,100.649,100.649,100.649
154,135.136,104.325,104.325,104.325,104.207,104.207,104.207,104.066,104.066,104.066,103.909,103.909,103.909,103.748,103.748,103.748
155,139.143,107.515,107.515,107.515,107.397,107.397,107.397,107.256,107.256,107.256,107.1,107.1,107.1,106.938,106.938,106.938
