gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[1 0],VF[1 1],VF[1 2],VF[2 0],VF[2 1],VF[2 2],VF[3 0],VF[3 1],VF[3 2],VF[4 0],VF[4 1],VF[4 2]
130,66.7641,-9.11792,-9.11792,-9.11554,-9.09128,-9.09128,-9.08902,-9.05829,-9.05829,-9.05621,-9.01881,-9.01881,-9.01691,-8.97318,-8.97318,-8.97151
131,68.7675,-9.01529,-9.01529,-9.01292,-8.98956,-8.98956,-8.98731,-8.95769,-8.95769,-8.95561,-8.91952,-8.91952,-8.91761,-8.8754,-8.8754,-8.87372
132,70.8295,-8.91329,-8.91329,-8.91093,-8.88845,-8.88845,-8.88621,-8.85766,-8.85766,-8.85559,-8.82078,-8.82078,-8.81884,-8.77811,-8.77811,-8.77642
133,72.9521,-8.81194,-8.81194,-8.80959,-8.78795,-8.78795,-8.78573,-8.75822,-8.75822,-8.75615,-8.72258,-8.72258,-8.72066,-8.68133,-8.68133,-8.67962
134,75.1368,-8.71124,-8.71124,-8.7089,-8.68808,-8.68808,-8.68587,-8.65938,-8.65938,-8.65731,-8.62494,-8.62494,-8.62303,-8.58506,-8.58506,-8.58336
135,77.3855,-8.6112,-8.6112,-8.60887,-8.58885,-8.58885,-8.58665,-8.56114,-8.56114,-8.55907,-8.52787,-8.52787,-8.52598,-8.48932,-8.48932,-8.48763
136,79.7002,-8.51183,-8.51183,-8.50951,-8.49026,-8.49026,-8.48808,-8.46351,-8.46351,-8.46145,-8.43139,-8.43139,-8.4295,-8.39412,-8.39412,-8.39244
137,82.0826,-8.41314,-8.41314,-8.41084,-8.39233,-8.39233,-8.39016,-8.36652,-8.36652,-8.36447,-8.33549,-8.33549,-8.33362,-8.29948,-8.29948,-8.2978
138,84.5349,-8.31513,-8.31513,-8.31285,-8.29506,-8.29506,-8.2929,-8.27015,-8.27015,-8.26812,-8.24019,-8.24019,-8.23833,-8.20539,-8.20539,-8.20372
139,87.0591,-8.21782,-8.21782,-8.21555,-8.19846,-8.19846,-8.19631,-8.17443,-8.17443,-8.17241,-8.1455,-8.1455,-8.14366,-8.11188,-8.11188,-8.11022
140,89.6572,-8.12122,-8.12122,-8.11896,-8.10254,-8.10254,-8.1004,-8.07936,-8.07936,-8.07735,-8.05143,-8.05143,-8.0496,-8.01895,-8.01895,-8.0173
141,92.3314,-8.02532,-8.02532,-8.02308,-8.00731,-8.00731,-8.00518,-7.98495,-7.98495,-7.98295,-7.95801,-7.95801,-7.95618,-7.92662,-7.92662,-7.92498
142,95.084,-7.93014,-7.93014,-7.92792,-7.91277,-7.91277,-7.91065,-7.89121,-7.89121,-7.88923,-7.86522,-7.86522,-7.86339,-7.83492,-7.83492,-7.83326
143,97.9173,-7.83568,-7.83568,-7.83348,-7.81894,-7.81894,-7.81683,-7.79815,-7.79815,-7.79618,-7.77308,-7.77308,-7.77125,-7.74384,-7.74384,-7.74215
