gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[1 0],VF[1 1],VF[1 2],VF[2 0],VF[2 1],VF[2 2],VF[3 0],VF[3 1],VF[3 2],VF[4 0],VF[4 1],VF[4 2]
115,42.7271,-10.5184,-10.5057,-10.488,-10.4754,-10.4631,-10.4456,-10.4228,-10.4106,-10.3932,-10.3599,-10.348,-10.3306,-10.2867,-10.2752,-10.2587
116,44.0261,-10.4078,-10.3952,-10.3776,-10.3662,-10.354,-10.3366,-10.3153,-10.3032,-10.286,-10.2544,-10.2426,-10.2254,-10.1835,-10.1721,-10.1557
117,45.3631,-10.2977,-10.2852,-10.2678,-10.2575,-10.2454,-10.2281,-10.2082,-10.1962,-10.1792,-10.1492,-10.1375,-10.1205,-10.0807,-10.0693,-10.053
118,46.7394,-10.1881,-10.1757,-10.1585,-10.1492,-10.1372,-10.1201,-10.1015,-10.0896,-10.0728,-10.0445,-10.0329,-10.016,-9.9781,-9.96679,-9.95059
119,48.1559,-10.0791,-10.0668,-10.0497,-10.0415,-10.0296,-10.0126,-9.99529,-9.98352,-9.9668,-9.94008,-9.92857,-9.91185,-9.87587,-9.86464,-9.84849
120,49.614,-9.97065,-9.9584,-9.9415,-9.93429,-9.92244,-9.90563,-9.88955,-9.8779,-9.86133,-9.83614,-9.82471,-9.80818,-9.77399,-9.76284,-9.74676
121,51.1148,-9.86275,-9.85059,-9.83384,-9.8276,-9.81582,-9.79916,-9.7843,-9.77277,-9.75632,-9.73264,-9.7213,-9.70494,-9.67251,-9.66143,-9.64543
122,52.6596,-9.75543,-9.74334,-9.72675,-9.72145,-9.70973,-9.69322,-9.67954,-9.66814,-9.65181,-9.6296,-9.61834,-9.60214,-9.57143,-9.56043,-9.5445
123,54.2497,-9.64869,-9.63669,-9.62023,-9.61585,-9.60419,-9.58782,-9.5753,-9.56401,-9.54781,-9.527,-9.51583,-9.49978,-9.47076,-9.45983,-9.44399
124,55.8863,-9.54255,-9.53063,-9.51431,-9.51081,-9.49922,-9.48299,-9.4716,-9.4604,-9.44432,-9.42488,-9.41381,-9.39789,-9.37049,-9.35964,-9.34392
