gridnumber,capital,VF[0],VF[1],VF[2],VF[3],VF[4],VF[5],VF[6]
435,238.393,-0.0199632,-0.0194954,-0.0190424,-0.0186048,-0.0181802,-0.017768,-0.0173678
436,241.174,-0.0195115,-0.0190543,-0.0186114,-0.0181837,-0.0177686,-0.0173657,-0.0169745
437,243.986,-0.01907,-0.0186231,-0.0181902,-0.017772,-0.0173663,-0.0169724,-0.0165901
438,246.831,-0.0186385,-0.0182016,-0.0177784,-0.0173697,-0.0169731,-0.0165881,-0.0162143
439,249.709,-0.0182167,-0.0177896,-0.017376,-0.0169765,-0.0165888,-0.0162124,-0.0158471
440,252.621,-0.0178045,-0.017387,-0.0169826,-0.0165921,-0.0162131,-0.0158453,-0.0154882
441,255.566,-0.0174015,-0.0169934,-0.0165982,-0.0162164,-0.015846,-0.0154864,-0.0151373
442,258.545,-0.0170076,-0.0166087,-0.0162224,-0.0158492,-0.0154871,-0.0151356,-0.0147944
443,261.559,-0.0166226,-0.0162327,-0.015855,-0.0154903,-0.0151363,-0.0147928,-0.0144592
444,264.608,-0.0162463,-0.0158652,-0.015496,-0.0151394,-0.0147935,-0.0144576,-0.0141316
445,267.692,-0.0158785,-0.0155059,-0.0151451,-0.0147965,-0.0144584,-0.0141301,-0.0138114
446,270.812,-0.015519,-0.0151548,-0.0148021,-0.0144614,-0.0141308,-0.01381,-0.0134985
447,273.968,-0.0151676,-0.0148116,-0.0144668,-0.0141338,-0.0138107,-0.0134971,-0.0131926
448,277.16,-0.0148242,-0.0144762,-0.0141392,-0.0138136,-0.0134978,-0.0131913,-0.0128936
449,280.39,-0.0144885,-0.0141483,-0.0138189,-0.0135007,-0.013192,-0.0128923,-0.0126014
