gridnumber,capital,Portfolio[0],Portfolio[1],Portfolio[2],Portfolio[3],Portfolio[4],Portfolio[5],Portfolio[6]
284,40.5526,0,0,0,0,0.00666667,0.0133333,0.02
285,41.0409,0,0,0,0,0.00666667,0.0133333,0.0233333
286,41.5349,0,0,0,0,0.00666667,0.0133333,0.0233333
287,42.0347,0,0,0,0,0.00666667,0.0133333,0.0233333
288,42.5402,0,0,0,0,0.00666667,0.0133333,0.0233333
289,43.0516,0,0,0,0,0.00666667,0.0166667,0.0233333
290,43.5689,0,0,0,0,0.00666667,0.0166667,0.0233333
291,44.0922,0,0,0,0,0.00666667,0.0166667,0.0233333
292,44.6215,0,0,0,0,0.00666667,0.0166667,0.0233333
293,45.157,0,0,0,0,0.00666667,0.0166667,0.0233333
294,45.6987,0,0,0,0,0.00666667,0.0166667,0.0266667
295,46.2467,0,0,0,0,0.00666667,0.0166667,0.0266667
296,46.801,0,0,0,0,0.00666667,0.0166667,0.0266667
297,47.3617,0,0,0,0,0.00666667,0.0166667,0.0266667
298,47.9289,0,0,0,0,0.00666667,0.0166667,0.0266667
299,48.5027,0,0,0,0,0.00666667,0.0166667,0.0266667
300,49.0832,0,0,0,0,0.00666667,0.0166667,0.0266667
301,49.6704,0,0,0,0,0.00666667,0.0166667,0.0266667
302,50.2644,0,0,0,0,0.00666667,0.02,0.0266667
303,50.8652,0,0,0,0,0.00666667,0.02,0.03
304,51.473,0,0,0,0,0.01,0.02,0.03
305,52.0879,0,0,0,0,0.01,0.02,0.03
306,52.7099,0,0,0,0,0.01,0.02,0.03
307,53.3391,0,0,0,0,0.01,0.02,0.03
308,53.9756,0,0,0,0,0.01,0.02,0.03
309,54.6194,0,0,0,0,0.01,0.02,0.03
310,55.2707,0,0,0,0,0.01,0.02,0.03
311,55.9296,0,0,0,0,0.01,0.02,0.0333333
312,56.5961,0,0,0,0,0.01,0.0233333,0.0333333
313,57.2703,0,0,0,0,0.01,0.0233333,0.0333333
314,57.9523,0,0,0,0,0.01,0.0233333,0.0333333
315,58.6423,0,0,0,0,0.0133333,0.0233333,0.0333333
316,59.3402,0,0,0,0,0.0133333,0.0233333,0.0333333
317,60.0462,0,0,0,0,0.0133333,0.0233333,0.0333333
318,60.7604,0,0,0,0,0.0133333,0.0233333,0.0366667
319,61.4828,0,0,0,0,0.0133333,0.0233333,0.0366667
320,62.2137,0,0,0,0,0.0133333,0.0233333,0.0366667
321,62.9529,0,0,0,0,0.0133333,0.0266667,0.0366667
322,63.7008,0,0,0,0,0.0133333,0.0266667,0.0366667
323,64.4573,0,0,0,0,0.0133333,0.0266667,0.0366667
324,65.2226,0,0,0,0,0.0133333,0.0266667,0.04
325,65.9968,0,0,0,0,0.0133333,0.0266667,0.04
326,66.7799,0,0,0,0,0.0133333,0.0266667,0.04
327,67.5721,0,0,0,0,0.0133333,0.0266667,0.04
328,68.3735,0,0,0,0,0.0133333,0.0266667,0.04
329,69.1841,0,0,0,0,0.0133333,0.0266667,0.04
330,70.0042,0,0,0,0,0.0133333,0.0266667,0.0433333
331,70.8337,0,0,0,0,0.0133333,0.03,0.0433333
332,71.6729,0,0,0,0,0.0133333,0.03,0.0433333
333,72.5218,0,0,0,0,0.0133333,0.03,0.0433333
334,73.3805,0,0,0,0,0.0133333,0.03,0.0466667
335,74.2492,0,0,0,0,0.0133333,0.03,0.0466667
336,75.1279,0,0,0,0,0.0166667,0.03,0.0466667
337,76.0168,0,0,0,0,0.0166667,0.03,0.0466667
338,76.916,0,0,0,0,0.0166667,0.0333333,0.0466667
339,77.8256,0,0,0,0,0.0166667,0.0333333,0.05
340,78.7458,0,0,0,0,0.0166667,0.0333333,0.0466667
341,79.6766,0,0,0,0,0.0166667,0.0333333,0.0466667
342,80.6182,0,0,0,0,0.0166667,0.0333333,0.0466667
343,81.5708,0,0,0,0,0.0166667,0.0333333,0.0466667
344,82.5343,0,0,0,0,0.0166667,0.0333333,0.0466667
345,83.509,0,0,0,0,0.0166667,0.0366667,0.0433333
346,84.495,0,0,0,0,0.0166667,0.0366667,0.0433333
347,85.4925,0,0,0,0,0.0166667,0.0366667,0.0433333
348,86.5014,0,0,0,0,0.0166667,0.0366667,0.0433333
349,87.5221,0,0,0,0,0.02,0.0366667,0.04
350,88.5546,0,0,0,0,0.02,0.0366667,0.04
351,89.5991,0,0,0,0,0.02,0.0333333,0.04
352,90.6556,0,0,0,0,0.02,0.0333333,0.04
353,91.7245,0,0,0,0,0.02,0.0333333,0.0366667
354,92.8056,0,0,0,0,0.02,0.0333333,0.0366667
355,93.8993,0,0,0,0,0.02,0.0333333,0.0366667
356,95.0057,0,0,0,0,0.02,0.03,0.0366667
357,96.1249,0,0,0,0,0.02,0.03,0.0366667
358,97.2571,0,0,0,0,0.02,0.03,0.0333333
359,98.4024,0,0,0,0,0.0233333,0.03,0.0333333
360,99.5609,0,0,0,0,0.0233333,0.0266667,0.0333333
361,100.733,0,0,0,0,0.0233333,0.0266667,0.0333333
362,101.918,0,0,0,0,0.02,0.0266667,0.03
363,103.118,0,0,0,0,0.02,0.0266667,0.03
364,104.331,0,0,0,0,0.02,0.0233333,0.03
365,105.558,0,0,0,0,0.02,0.0233333,0.0266667
366,106.8,0,0,0,0,0.0166667,0.0233333,0.0266667
367,108.055,0,0,0,0,0.0166667,0.0233333,0.0233333
368,109.326,0,0,0,0,0.0166667,0.02,0.0233333
369,110.611,0,0,0,0,0.0166667,0.02,0.0233333
370,111.911,0,0,0,0,0.0166667,0.02,0.02
371,113.226,0,0,0,0,0.0133333,0.02,0.02
372,114.556,0,0,0,0,0.0133333,0.0166667,0.0166667
373,115.902,0,0,0,0,0.0133333,0.0166667,0.0166667
374,117.263,0,0,0,0,0.0133333,0.0133333,0.0166667
375,118.64,0,0,0,0,0.01,0.0133333,0.0133333
376,120.033,0,0,0,0,0.01,0.01,0.0133333
377,121.442,0,0,0,0,0.01,0.01,0.01
378,122.868,0,0,0,0,0.00666667,0.01,0.01
379,124.31,0,0,0,0,0.00666667,0.00666667,0.00666667
380,125.769,0,0,0,0,0.00666667,0.00666667,0.00666667
381,127.244,0,0,0,0,0.00333333,0.00666667,0.00666667
382,128.737,0,0,0,0,0.00333333,0.00333333,0.00333333
383,130.247,0,0,0,0,0,0.00333333,0.00333333
384,131.774,0,0,0,0,0,0,0
385,133.32,0,0,0,0,0,0,0
386,134.883,0,0,0,0,0,0,0
387,136.464,0,0,0,0,0,0,0
388,138.063,0,0,0,0,0,0,0
389,139.681,0,0,0,0,0,0,0
390,141.318,0,0,0,0,0,0,0
391,142.974,0,0,0,0,0,0,0
392,144.649,0,0,0,0,0,0,0
393,146.343,0,0,0,0,0,0,0
394,148.057,0,0,0,0,0,0,0
395,149.791,0,0,0,0,0,0,0
396,151.545,0,0,0,0,0,0,0
397,153.319,0,0,0,0,0,0,0
398,155.114,0,0,0,0,0,0,0
399,156.929,0,0,0,0,0,0,0
400,158.766,0,0,0,0,0,0,0
401,160.624,0,0,0,0,0,0,0
402,162.503,0,0,0,0,0,0,0
403,164.404,0,0,0,0,0,0,0
404,166.328,0,0,0,0,0,0,0
405,168.273,0,0,0,0,0,0,0
406,170.241,0,0,0,0,0,0,0
407,172.232,0,0,0,0,0,0,0
408,174.246,0,0,0,0,0,0,0
409,176.283,0,0,0,0,0,0,0
410,178.344,0,0,0,0,0,0,0
411,180.428,0,0,0,0,0,0,0
412,182.537,0,0,0,0,0,0,0
413,184.671,0,0,0,0,0,0,0
414,186.829,0,0,0,0,0,0,0
415,189.012,0,0,0,0,0,0,0
416,191.22,0,0,0,0,0,0,0
417,193.454,0,0,0,0,0,0,0
418,195.713,0,0,0,0,0,0,0
419,197.999,0,0,0,0,0,0,0
420,200.312,0,0,0,0,0,0,0
421,202.651,0,0,0,0,0,0,0
422,205.017,0,0,0,0,0,0,0
423,207.411,0,0,0,0,0,0,0
424,209.832,0,0,0,0,0,0,0
425,212.282,0,0,0,0,0,0,0
426,214.76,0,0,0,0,0,0,0
427,217.266,0,0,0,0,0,0,0
428,219.802,0,0,0,0,0,0,0
429,222.367,0,0,0,0,0,0,0
430,224.962,0,0,0,0,0,0,0
431,227.586,0,0,0,0,0,0,0
432,230.242,0,0,0,0,0,0,0
433,232.928,0,0,0,0,0,0,0
434,235.645,0,0,0,0,0,0,0
435,238.393,0,0,0,0,0,0,0
436,241.174,0,0,0,0,0,0,0
437,243.986,0,0,0,0,0,0,0.00333333
438,246.831,0,0,0,0,0,0,0
439,249.709,0,0,0,0,0,0,0
440,252.621,0,0,0,0,0,0,0.00333333
441,255.566,0,0,0,0,0,0,0
442,258.545,0,0,0,0,0,0,0
