gridnumber,capital,VF[0],VF[1],VF[2],VF[3],VF[4],VF[5],VF[6]
220,18.5681,-4.14495,-4.07666,-4.00975,-3.94415,-3.88014,-3.81747,-3.75604
221,18.8018,-4.07631,-4.0089,-3.94286,-3.87812,-3.81495,-3.7531,-3.69249
222,19.0381,-4.00862,-3.94209,-3.87691,-3.81303,-3.75068,-3.68966,-3.62986
223,19.2772,-3.94188,-3.87621,-3.81189,-3.74886,-3.68732,-3.62712,-3.56813
224,19.5191,-3.87607,-3.81127,-3.7478,-3.6856,-3.62488,-3.56549,-3.5073
225,19.7638,-3.81119,-3.74724,-3.68461,-3.62325,-3.56333,-3.50475,-3.44736
226,20.0113,-3.74722,-3.68412,-3.62233,-3.56179,-3.50268,-3.44489,-3.38829
227,20.2617,-3.68416,-3.6219,-3.56095,-3.50123,-3.44291,-3.38591,-3.33008
228,20.5149,-3.622,-3.56058,-3.50044,-3.44154,-3.384,-3.32779,-3.27274
229,20.7711,-3.56073,-3.50014,-3.44082,-3.38272,-3.32596,-3.27053,-3.21624
230,21.0303,-3.50034,-3.44057,-3.38206,-3.32476,-3.26878,-3.21412,-3.16059
231,21.2925,-3.44082,-3.38186,-3.32416,-3.26764,-3.21243,-3.15854,-3.10576
232,21.5577,-3.38216,-3.32401,-3.2671,-3.21138,-3.15693,-3.10378,-3.05175
233,21.826,-3.32436,-3.26701,-3.21089,-3.15594,-3.10224,-3.04985,-2.99856
234,22.0974,-3.2674,-3.21085,-3.15551,-3.10133,-3.04838,-2.99673,-2.94617
235,22.3719,-3.21127,-3.15551,-3.10094,-3.04753,-2.99532,-2.9444,-2.89457
236,22.6496,-3.15598,-3.10099,-3.04719,-2.99453,-2.94306,-2.89287,-2.84375
237,22.9306,-3.10149,-3.04728,-2.99425,-2.94233,-2.89158,-2.84212,-2.79371
238,23.2148,-3.04782,-2.99438,-2.94209,-2.89092,-2.84089,-2.79214,-2.74444
239,23.5023,-2.99495,-2.94226,-2.89072,-2.84029,-2.79097,-2.74293,-2.69592
240,23.7931,-2.94287,-2.89093,-2.84013,-2.79042,-2.74181,-2.69447,-2.64815
241,24.0873,-2.89157,-2.84038,-2.79031,-2.74132,-2.69341,-2.64676,-2.60112
242,24.3848,-2.84105,-2.79059,-2.74125,-2.69297,-2.64575,-2.59979,-2.55483
243,24.6859,-2.79128,-2.74156,-2.69293,-2.64536,-2.59883,-2.55354,-2.50925
244,24.9904,-2.74228,-2.69327,-2.64536,-2.59848,-2.55264,-2.50802,-2.46439
245,25.2985,-2.69402,-2.64573,-2.59852,-2.55233,-2.50717,-2.46321,-2.42023
246,25.6101,-2.6465,-2.59892,-2.5524,-2.5069,-2.46241,-2.4191,-2.37677
247,25.9253,-2.59971,-2.55283,-2.507,-2.46218,-2.41835,-2.37569,-2.334
248,26.2442,-2.55364,-2.50745,-2.46231,-2.41816,-2.37499,-2.33296,-2.29191
249,26.5668,-2.50829,-2.46278,-2.41831,-2.37482,-2.33231,-2.29091,-2.25048
250,26.8931,-2.46364,-2.41881,-2.37501,-2.33218,-2.29031,-2.24953,-2.20972
251,27.2232,-2.41968,-2.37553,-2.33238,-2.2902,-2.24897,-2.20881,-2.16962
252,27.5571,-2.37642,-2.33293,-2.29044,-2.2489,-2.20829,-2.16875,-2.13015
253,27.8949,-2.33383,-2.291,-2.24915,-2.20825,-2.16827,-2.12933,-2.09133
254,28.2366,-2.29191,-2.24973,-2.20853,-2.16825,-2.12888,-2.09054,-2.05313
255,28.5823,-2.25066,-2.20912,-2.16855,-2.12889,-2.09014,-2.05238,-2.01556
256,28.932,-2.21006,-2.16916,-2.12921,-2.09016,-2.05201,-2.01484,-1.97859
257,29.2857,-2.17011,-2.12984,-2.0905,-2.05206,-2.01451,-1.97791,-1.94224
258,29.6435,-2.1308,-2.09115,-2.05242,-2.01458,-1.97761,-1.94158,-1.90647
259,30.0055,-2.09212,-2.05308,-2.01496,-1.97771,-1.94132,-1.90585,-1.8713
260,30.3716,-2.05406,-2.01563,-1.9781,-1.94143,-1.90562,-1.87071,-1.83671
261,30.742,-2.01661,-1.97878,-1.94184,-1.90575,-1.87051,-1.83615,-1.80269
262,31.1167,-1.97977,-1.94253,-1.90617,-1.87066,-1.83597,-1.80215,-1.76923
263,31.4958,-1.94353,-1.90688,-1.87109,-1.83614,-1.80201,-1.76873,-1.73633
264,31.8792,-1.90788,-1.8718,-1.83659,-1.80219,-1.76861,-1.73586,-1.70398
265,32.267,-1.87281,-1.83731,-1.80265,-1.76881,-1.73576,-1.70353,-1.67218
266,32.6594,-1.83832,-1.80338,-1.76928,-1.73598,-1.70346,-1.67175,-1.6409
267,33.0563,-1.80439,-1.77001,-1.73646,-1.70369,-1.6717,-1.6405,-1.61016
268,33.4578,-1.77103,-1.7372,-1.70419,-1.67195,-1.64048,-1.60978,-1.57993
269,33.864,-1.73821,-1.70493,-1.67245,-1.64074,-1.60978,-1.57958,-1.55022
270,34.2748,-1.70595,-1.6732,-1.64125,-1.61005,-1.5796,-1.54989,-1.52102
271,34.6904,-1.67422,-1.642,-1.61057,-1.57988,-1.54993,-1.5207,-1.49231
272,35.1109,-1.64302,-1.61132,-1.5804,-1.55022,-1.52076,-1.49201,-1.46409
273,35.5362,-1.61234,-1.58116,-1.55075,-1.52106,-1.49209,-1.46381,-1.43635
274,35.9664,-1.58218,-1.55151,-1.5216,-1.4924,-1.46391,-1.4361,-1.4091
275,36.4016,-1.55253,-1.52236,-1.49294,-1.46423,-1.43621,-1.40886,-1.38231
276,36.8419,-1.52337,-1.49371,-1.46477,-1.43654,-1.40898,-1.38209,-1.35599
277,37.2872,-1.49472,-1.46554,-1.43709,-1.40932,-1.38223,-1.35578,-1.33012
278,37.7377,-1.46655,-1.43786,-1.40987,-1.38257,-1.35593,-1.32994,-1.3047
279,38.1935,-1.43886,-1.41064,-1.38313,-1.35628,-1.3301,-1.30454,-1.27973
280,38.6545,-1.41164,-1.3839,-1.35685,-1.33045,-1.30471,-1.27958,-1.25519
281,39.1209,-1.38489,-1.35762,-1.33102,-1.30507,-1.27976,-1.25506,-1.23108
